item_id,description,normalized_description,service_name,mapping_method,mapping_confidence,top_score,score_gap
0,INTENS PALL WD BD OCC /SA-8184,intensive palliative wd bd occupancy sa 8184,Intensive Palliative Ward Bed Occupancy,ai_candidate_selection,0.95,86.841,24.099
1,RTN PHYSIO SESS,routine physiotherapy session,Routine Geriatric Physiotherapy Session,fuzzy_high,0.96,97.25,12.425
2,PNL FOC LAB /SA-4377,panel focused laboratory sa 4377,Focused Ophthalmic Laboratory Panel,ai_candidate_selection,0.76,83.357,18.524
3,PROC OUTPT HAEM BIOPSY /SA-9926,procedure outpatient haematology biopsy sa 9926,Outpatient Haematology Biopsy Procedure,fuzzy_high,0.96,97.25,15.966
4,SVC - ELECT CARDIAC TRANSP,service elective cardiac transport,Elective Cardiac Transport Service,fuzzy_high,0.96,97.25,32.417
5,PROC ADV GI ENDOSCOPIC /SA-3753,procedure advanced gastrointestinal endoscopic sa 3753,Advanced Gastrointestinal Endoscopic Procedure,fuzzy_high,0.96,97.25,22.882
6,THER AMBULATORY VASC INF,ther ambulatory vascular infusion,Ambulatory Vascular Infusion Therapy,fuzzy_medium,0.89,93.022,37.07
7,ADV  GI ENDOSC PROC,advanced gastrointestinal endoscopic procedure,Advanced Gastrointestinal Endoscopic Procedure,exact,0.995,100.0,100.0
8,POSTOP CARD SESS,postoperative cardiac session,Postoperative Cardiac Physiotherapy Session,fuzzy_high,0.96,97.25,20.636
9,INTERM OPHTH ADMIN,intermittent ophthalmic administration,Intermittent Ophthalmic Anaesthesia Administration,fuzzy_high,0.96,97.25,20.067
10,POSTOP NEURO REHAB PROG /SA-6939,postoperative neurological rehabilitation programme sa 6939,Postoperative Neurological Rehabilitation Programme,fuzzy_high,0.96,97.25,11.577
11,EXT DERM ANLY /SA-1680,extended dermatologic analysis sa 1680,Extended Dermatologic Specimen Analysis,ai_candidate_selection,0.95,85.809,16.58
12,OCC STD NEURO ISOL RM,occupancy standard neurological isolation room,Standard Neurological Isolation Room Occupancy,fuzzy_high,0.96,97.25,10.545
13,ADV  RHEUM ISOL RM OCC /SA-5213,advanced rheum isolation room occupancy sa 5213,Advanced Rheumatologic Isolation Room Occupancy,ai_candidate_selection,0.95,83.936,0.579
14,PNL INTERM PSYCH LAB /SA-5413,panel intermittent psychiatric laboratory sa 5413,Intermittent Psychiatric Laboratory Panel,fuzzy_high,0.96,97.25,36.23
15,OCC INPATIENT ORTHO RECOV RM /SA-7665,occupancy inpatient orthopaedic recovery room sa 7665,Inpatient Orthopaedic Recovery Room Occupancy,fuzzy_high,0.96,97.25,13.893
16,REHABILITATION POSTOP NEURO /SA-3507,rehabilitation postoperative neurological sa 3507,Postoperative Neurological Rehabilitation Programme,ai_candidate_selection,0.95,88.606,17.639
17,EMER HAEM SVC /SA-3156,emergency haematology service sa 3156,Emergency Haematology Transport Service,ai_candidate_selection,0.86,85.462,19.471
18,PREOPERATIVE ORTHOPAEDIC VENTILATION SUPP /SA-9857,preoperative orthopaedic ventilation support sa 9857,Preoperative Orthopaedic Ventilation Support,fuzzy_high,0.96,97.25,25.872
